brand,type,category,influencers,reach,platform,cpv,likes,turnaround,media,links,fit
emami,2,instagram,10,12 M,Insta,0.24,-,-,"emami-1/1.png, emami-1/2.png, emami-1/3.png, emami-1/4.png","https://www.instagram.com/reel/Cr3Hb7lsS1S/ , https://www.instagram.com/reel/CtHHMnjA6rj/ , https://www.instagram.com/reel/Cs24rKbPgaV/ , https://www.instagram.com/reel/CrlGUCHNKjF/",cover
simplified,1,instagram,16,5.5M,"Insta, YouTube, LinkedIn",0.5,-,-,simplified-1.png,,cover
cred,1,instagram,48,1.86 M,ALL,0.86,-,-,cred-1.webp,,contain
xare,2,instagram,18,1.47 M,Insta,0.58,16K+,4 Days,"xare-1/1.jpg , xare-1/2.jpg, xare-1/3.jpg, xare-1/4.jpg","https://www.instagram.com/reel/CmeUVO8hMzF/,https://www.instagram.com/reel/CmgvtQvoUsh/,https://www.instagram.com/reel/CmeNCRphOlb/,https://www.instagram.com/reel/CmeLAmCgGiF/",cover
ajnalens,1,instagram,5,893K,Insta,0.78,-,-,ajnalens-1.webp,,cover
rigi,2,instagram,8,942K,Insta,0.75,-,-,"rigi-1/1.jpg, rigi-1/2.jpg, rigi-1/3.jpg, rigi-1/4.jpg","https://www.instagram.com/reel/Cju42aCIDh5/ , https://www.instagram.com/reel/CjdNyOaAjSy/ , https://www.instagram.com/reel/CjaZuP-DI3C/ , https://www.instagram.com/reel/Cj8PzN1gjXS/",cover
buywow,1,instagram,9,1.53 M,Insta,0.62,-,-,wow-1.webp,,cover
glenmark,1,instagram,11,1.73 M,Insta,0.68,-,-,glenmark-1.webp,,cover
legend,1,instagram,95,7.3 M,Insta,0.35,-,-,legend-1.webp,,contain
country-delight,2,youtube,36,6.94 M,YouTube,0.43,-,-,country-delight-1.webp,,cover
icici-bank,2,youtube,1,Ongoing,YouTube,-,-,-,icici-bank-1.webp,,cover
coinswitch-kuber,2,youtube,3,8.2 M,YouTube,1.13,-,-,coinswitch-kuber-1.webp,,cover
hero,2,youtube,31,4.9 M,"Insta, YouTube",0.53,-,-,hero-1.webp,,cover
cashe,2,youtube,7,575K,"Insta, YouTube",0.89,-,-,"cashe-1/1.jpg , cashe-1/2.jpg , cashe-1/3.jpg , cashe-1/4.jpg","https://www.instagram.com/reel/Chj-jm7FxZ0/ , https://www.instagram.com/p/ChmifzjjrRo/ , https://www.instagram.com/p/ChkBz9vJdZ2/ , https://www.instagram.com/reel/ChtnMmmAno4/",cover
wordtune,1,linkedin,7,1.07 M,"LinkedIn, YouTube",0.25,-,-,wordtune-1.png,,contain
synthesia,1,linkedin,8,300K,LinkedIn,0.79,-,-,synthesia-1.jpg,,cover
miles-education,1,linkedin,20,2.47 M,LinkedIn,0.29,-,-,miles-education-1.jpg,,cover
linkedin,1,linkedin,4,312K,LinkedIn,0.76,-,-,linkedin-1.png,,contain
growth-school,1,linkedin,34,762K,LinkedIn,0.38,-,-,growth-school-1.png,,contain
colors-infinity,2,linkedin,6,538K,LinkedIn,0.44,-,-,colors-infinity-1.webp,,cover
cleartrip,1,linkedin,4,462K,LinkedIn,0.84,-,-,cleartrip-1.png,,contain
smallcase,1,twitter,11,687K,Twitter,0.74,-,-,smallcase-1.png,,contain
whiteoak,1,twitter,1,1.2 M,Twitter,0.52,-,-,whiteoak-1.webp,,contain
