name,detail,instagram,instagram-count,youtube,youtube-count,linkedin,linkedin-count,twitter,twitter-count
Aevy TV,"Aevy TV is a team of creators who make educational videos on a variety of topics. They believe that everyone should have the opportunity to learn and grow, so we create engaging and informative videos that are both entertaining and educational.",https://www.instagram.com/aevy_tv/,7.7K+,https://www.youtube.com/aevytv,263K+,https://www.linkedin.com/company/aevytv/?trk=similar-pages,800+,https://twitter.com/aevytv,1.5K+
Soch by Mohak,"Soch by Mohak is a content creator that makes informative and engaging videos on a variety of topics, including politics, history, and current affairs. The creator's goal is to provide viewers with fact-based information and to encourage critical thinking. Soch by Mohak has over 2 million subscribers and is praised for its informative and engaging content.",https://www.instagram.com/sochbymohak/,12.8K+,https://www.youtube.com/@sochbymm,2.26M+,https://www.linkedin.com/company/sochbymohakmangal/about/,40+,https://twitter.com/mohakmangal,53K+
Varun Mayya,"Varun Mayya is the founder & CEO of Avalon Labs. He was the youngest Indian to raise VC funding. He creates educational content on building community and startups. He also talks about behavioural science and human psychology around investing, finding new opportunities and talks about Crypto and NFTs.",https://www.instagram.com/thevarunmayya/,133K+,https://www.youtube.com/c/VarunMayya,120K+,https://www.linkedin.com/in/varunmayya/,4.8K+,https://twitter.com/VarunMayya,90K+
Ayush Wadhwa,"Ayush is the founder of OWLED MEDIA. He is a BITS Pilani Graduate in Mechanical Engineering & Masters of Chemistry. He is also a content creator and a Podcast host who makes content on startup businesses, marketing, the creator economy and freelancing, particularly for students and young professionals.",https://www.instagram.com/ayushwadhwa/,138K+,https://www.youtube.com/c/AyushWadhwa,22.6K+,https://www.linkedin.com/in/ayushwadhwa/,18K+,https://twitter.com/AyushkWadhwa,3.7K+
Saptarshi Prakash,"Saptarshi is an engineer turned self-taught Product Designer based out of Bangalore, India. He passed out of IIT Madras and currently works as the Director of Design at Swiggy. He has a good understanding of technology, product, design aesthetics usability, brand and startups. Saptarshi is also a TEDX Speaker and has delivered over 90+ UX talks.",https://www.instagram.com/saptarshiux/,173K+,https://www.youtube.com/c/saptarshipr,43K+,https://www.linkedin.com/in/saptarshipr/,56K+,https://twitter.com/saptarshipr,15K+
Vaibhav Sisinty,"Vaibhav Sisinty is a startup consultant who helps businesses increase profits by leveraging digital media. He founded CrazyHeads at 19, which helped 100+ clients worldwide grow their businesses using the internet.",https://www.instagram.com/vaibhavsisinty/,124K+,https://www.youtube.com/@VaibhaVSisinty,24.1K+,https://www.linkedin.com/in/vaibhavsisinty/,398K+,https://twitter.com/VaibhavSisinty,113K+
Digital Pratik,"Digital Pratik is the founder and creator of Jorr Parivaar and has a portfolio of more than 400 NFTs. He creates content on Cryptocurrency, NFTs, Digital Marketing, Business and Personal Brand. He is helping his audience to discover new opportunities and technology along with helping brands promote their products.",https://www.instagram.com/digitalpratik/,344K+,https://www.youtube.com/c/DigitalPratikShow,83K+,https://www.linkedin.com/in/digitalpratik/,26K+,https://twitter.com/digitalpratik,29K+
Ansh Mehra,"Ansh Mehra is a Product Marketing Manager at Zuddl, a YouTuber, and Instagram content creator. He has also worked as a UX Design Intern at Swiggy, showcasing his self-motivation, energy and passion for his craft, which is evident in his work across various mediums.",https://www.instagram.com/anshmehra.ai/,127K+,https://www.youtube.com/@AnshMehraAI,74.3K+,https://www.linkedin.com/in/anshmehra24/,20.9K+,https://twitter.com/AnshMehraaa,4.5K+
Index Daily,"Index Daily by Anurag creates highly educational content in Carousel and Video formats. He enabled brands to present themselves to the right set of audience. He has a highly engaged community of finance and business enthusiasts, also helping brands leverage his audience.",https://www.instagram.com/index.daily/,200K+,https://www.youtube.com/c/IndexDaily,1.67K+,https://www.linkedin.com/company/index-daily,250+,https://twitter.com/index_daily,1.2K+
Murrad Beigh,"Murrad Beigh is a Financial Risk Manager (FRM) and founder of a YouTube channel with 125k+ subscribers, where he helps students gain admission to their dream colleges. His expertise in risk management extends to the realm of college applications, where he guides students through the complex process.",https://www.instagram.com/murrad_beigh/,247K+,https://www.youtube.com/@murradonrun,125K+,https://www.linkedin.com/in/murrad-beigh-frm-a0679141/,18.9K+,,
Deepak Pareek,"Deepak Pareek creates content around business, finance and presents facts to his audience. Brands can leverage his reach as he is experienced in creating awareness around different brands that would help in lead generation and reaching the right audience.",https://www.instagram.com/dkpareek/,137K+,,,https://www.linkedin.com/in/dkpareek/,14.8K+,,
Abhinav Arora,"Abhinav is an internet detective. He is known as a 'Jasoos' who uncovers mysteries & secrets behind top brands, creators and the way the world works. He is also the Co-founder and CMO of Scenes by Avalon. During his career, he has built and led midsize growth teams across sectors like Digital Health, EdTech, DTC, SaaS and Social.",https://www.instagram.com/abhinav.aurora/,75.5K+,https://www.youtube.com/user/abynov95,11.9K+,https://www.linkedin.com/in/abhinavxarora/,3.4K+,https://twitter.com/abhinavxarora,11K+
